Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
TRI EKA PETRA LESTARI,Not Found,,,,
TRI KARYATAMA JAYA,Not Found,,,,
TRI TANGGUH SELARAS,Not Found,,,,
TRIADI LINTAS PERSADA,Not Found,,,,
TRIBUANA MANUNGGAL SEJAHTERA,Not Found,,,,
TRIDAYA SARANA PRIMA,32502,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN LAINNYA,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA
TRIDHARMA POLAKARSA,20231,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
TRIGUNA ENERGI CEMERLANG,Not Found,,,,
TRIKASA ENERGI TAMA,Not Found,,,,
TRIMANDIRI PLASINDO,22299,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
TRINITAS PRIMA SEJAHTERA,Not Found,,,,
TRIPUTRA MENARA JAYA,Not Found,,,,
TRIPUTRA TEXTILE INDUSTRY,13121,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERTENUNAN TEKSTIL
TRISSAN,Not Found,,,,
TRITUNGGAL MAHESA JAYA,Not Found,,,,
TRIVESTA LANCAR ABADI,Not Found,,,,
TRUFFLE ANDALAN BAHASA,Not Found,,,,
TRUST OFFSHORE INTERNATIONAL,Not Found,,,,
TUJUH CAHAYA SINERGI,Not Found,,,,
TUMBAKMAS INTI MULIA,24102,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR BESI DAN BAJA,INDUSTRI LOGAM DASAR BESI DAN BAJA
TUNAS DWIPA MATRA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
TUNAS RIZKI SEMESTA,Not Found,,,,
TURANGGA EMPAT TIGA,Not Found,,,,
TWIN DIGITAL PRINTING,Not Found,,,,
TWINS DATA PRATAMA,Not Found,,,,
UNGGUL JAYA PERKASA,Not Found,,,,
UNION TEKNIKA,28160,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN UMUM,INDUSTRI ALAT PENGANGKAT DAN PEMINDAH
UNIVERSAL,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
UNIVERSAL INDO PERSADA,22210,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK BANGUNAN
USAHA KITA SUKSES MANDIRI,Not Found,,,,
VARION SUKSES MAKMUR,Not Found,,,,
VARSINDO KIMIA ABADI,Not Found,,,,
VENTRA MANDIRI LOGISTIK,Not Found,,,,
VENTURIUM SYSTEM INDONESIA,Not Found,,,,
WADAH MAKMURKENCANA,Not Found,,,,
WAHANA ARTHA RITELINDO,Not Found,,,,
WAHANA KASIH MULIA,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
WAHANA LESTARI INVESTAMA,10293,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN IKAN DAN BIOTA AIR,INDUSTRI PENGOLAHAN DAN PENGAWETAN BIOTA AIR LAINNYA
WANAYASATAMA TRACKINDO,Not Found,,,,
WANITA SATRIA BERSINERGI,Not Found,,,,
WEBUS PACKING INDONESIA,Not Found,,,,
WICAKSANA BERLIAN MOTOR,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
WIJAYA ABADI MULIA,Not Found,,,,
WIJAYA LESTARI DAGO,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
WIJAYA SAMPADA MANDIRI,Not Found,,,,
WIRA GEMILANG,25952,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI BARANG DARI KAWAT DAN PAKU
WIRA JALA PERKASA,Not Found,,,,
WIRAJAYA ERKON MANDIRI,Not Found,,,,
WIRAKY NUSA TELEKOMUNIKASI,27202,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI BATU BATERAI DAN AKUMULATOR LISTRIK,INDUSTRI BATU BATERAI DAN AKUMULATOR LISTRIK
WISAN JAYA UTAMA,Not Found,,,,
WISATA SAA PESONA,Not Found,,,,
YAKULT INDONESIA PERSADA,10590,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN SUSU,INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA
YAMAMO KASEA RAYA,Not Found,,,,
YASMINE INFRASTRUKTUR INDONESIA,Not Found,,,,
YOGA KARYA PERDANA,Not Found,,,,
YORKINDO SERVISTAMA,Not Found,,,,
YUSHIRO INDONESIA,20118,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
YUSHUKA BERKAH ARTOMORO,Not Found,,,,
ZEFA VALINDO JAYA,Not Found,,,,
ZIEBAR INDONESIA,Not Found,,,,
AMANDA SUKSES MANDIRI,Not Found,,,,
AQUASCIENCE INDONESIA,Not Found,,,,
JASA RAHARJA CABANG UTAMA JAWA BARAT,Not Found,,,,
YAKULT INDONESIA PERSADA,10590,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN SUSU,INDUSTRI PENGOLAHAN PRODUK DARI SUSU LAINNYA
ABADI GARMINDO,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
ABDI TEKNIK ELEVATOR,Not Found,,,,
ABIRA RIZKI AGUNG,Not Found,,,,
ABQARI MEDIKA,Not Found,,,,
ADHIKARYA PERKASA,29200,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI KAROSERI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH DAN INDUSTRI TRAILER DAN SEMI TRAILER,INDUSTRI KAROSERI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH DAN INDUSTRI TRAILER DAN SEMI TRAILER
ADI DAYA SEJAHTERA,Not Found,,,,
ADI SARANA ARMADA TBK,Not Found,,,,
ADIMITRA ANEKA UTAMA,Not Found,,,,
ADIPRAYA HIJAU LESTARI,Not Found,,,,
ADITAMA JAYA,Not Found,,,,
ADITYA KENCANA SAHAJA,Not Found,,,,
ADONAI SUMBER HIKMAT,Not Found,,,,
ADYATAMA PUTRA PRATAMA,Not Found,,,,
AGRO KIMIA ASIA,Not Found,,,,
AGRU FARMA TEKNOLOGI,Not Found,,,,
AGUNG MANUFAKTUR DESAINDO,15121,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI KULIT DAN BARANG DARI KULIT,INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI
AIRLOCK INDONESIA JAYA RAYA,Not Found,,,,
AKSES MAJU BERSAMA,Not Found,,,,
AKUR PRATAMA,Not Found,,,,
ALAM BERKAT SEJATI,Not Found,,,,
ALAS MULIA,Not Found,,,,
ALBA UNIVERSAL ABADI,Not Found,,,,
ALCARI,Not Found,,,,
ALDIKA PUTERA MITRA UTAMA,Not Found,,,,
ALFA POLIMER INDONESIA,20116,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
ALGORITMA PESONA INDONESIA,Not Found,,,,
ALHADI BERKAH SUKSES,Not Found,,,,
ALKIMIA NIAGA JAYA,Not Found,,,,
ALKINDO NARATAMA TBK,Not Found,,,,
ALUMINIUM EXTRUSION INDONESIA(ALEXINDO),Not Found,,,,
ALUNA KUSUMAH LESTARI,Not Found,,,,
AMANAH CIA SARANA,Not Found,,,,
AMAR MULIA BERSAMA,Not Found,,,,
AMERY CAHAYA ANUGERAH,Not Found,,,,
AMFUTURE SATRIASYACH PRATAMA,Not Found,,,,
AMSAR PRIMA MANDIRI,Not Found,,,,
ANDALAN BANGUN CIASARANA,Not Found,,,,
ANDALIRA CIA ABADI,Not Found,,,,
ANDIKA WIJAYA RAYA,Not Found,,,,
ANEKA HASIL KASIH,Not Found,,,,
ANEKA PIRANTI INTIKARSA,Not Found,,,,
ANEKA RIMBA AGRO,Not Found,,,,
ANEKA SARANA TEKNIK,Not Found,,,,
ANEWA CIA INDONESIA,Not Found,,,,
ANGKASA PURA HOTEL,Not Found,,,,
ANPRESS PRAMESTI PRIMA,Not Found,,,,
ANUGERAH GEMILANG BERSAMA,Not Found,,,,
ANUGERAH JAYA FORDIC,Not Found,,,,
ANUGERAH KALINDO UTAMA,Not Found,,,,
ANUGERAH KREASI SISTEM,Not Found,,,,
ANUGERAH MITRA LOGISTIK,Not Found,,,,
ANUGERAH TUNAS MULIA,Not Found,,,,
ANUGRAH BARLIAN UTAMA,Not Found,,,,
ANUGRAH CIA INTERINDO,Not Found,,,,
ANUGRAH HASTA MULIA,Not Found,,,,
ANUGRAH MITRA BENUA,Not Found,,,,
APM ARMADA AUTOPARTS,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
AQUAMART INDONESIA RITEL,Not Found,,,,
ARABIAN MITRA ABADI,Not Found,,,,
ARCO TRITAMA MANDIRI,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
ARCON RADIAN ABADI,Not Found,,,,
ARDI SUKSES MANDIRI,Not Found,,,,
ARIANTO DARMAWAN,Not Found,,,,
ARISTA LATINDO,22194,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI KARET DAN BARANG DARI KARET,INDUSTRI BARANG DARI KARET LAINNYA
ARKATAMA RAFTARINDO GEMILANG,Not Found,,,,
ARNOC INDONESIA ENERGI,,,,,
AROMA INDONESIA INTERNASIONAL,Not Found,,,,
ARRAYYAN AL MUBARAK,Not Found,,,,
ARTAPRIMA SARANA SUKSES,Not Found,,,,
ARTDECO SEJAHTERA ABADI,Not Found,,,,
ARTHA ALAM LESTARI,Not Found,,,,
ARTHA BERSAMA ABADI,Not Found,,,,
ARTHA JAYA INTINUSA,33121,INDUSTRI PENGOLAHAN,REPARASI DAN PEMASANGAN MESIN DAN PERALATAN,REPARASI PRODUK LOGAM PABRIKASI,REPARASI MESIN
ARTHA MANDIRI ALKESINDO,Not Found,,,,
ARTO LANGGENG REJEKI,Not Found,,,,
ARWIGA BHAKTI PROPERTINDO,Not Found,,,,
ASA MENUJU BERKAH,Not Found,,,,
ASHYA JAYA INDUSTRI,Not Found,,,,
ASIA PUPUK GUNA LESTARI,Not Found,,,,
ASTRA INTERNATIONAL TBK,,,,,
ASURANSI KREDIT INDONESIA PERWAKILAN BANDUNG,Not Found,,,,
ASURANSI RAMAYANA,Not Found,,,,
AURA TRIDAYA SEMESTA,25119,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN
AUTOBEST,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
AVENEW AKADEMI INOVASI,Not Found,,,,
AWAL SEMANGAT KARYA MEDIKA,Not Found,,,,
AYOE INDOTAMA TEXTILE,13911,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI KAIN RAJUTAN DAN SULAMAN
AYUNDA SEJAHTERA ABADI,Not Found,,,,
AZZAHRA TRANS UTAMA,Not Found,,,,
BAGUS DARAJAT KONSULTAN,Not Found,,,,
BAHAGIA SEJAHTERA MANDIRI,Not Found,,,,
BAHANA AKURASI TEKNOLOGI,,,,,
BAHANA SELARAS,30200,INDUSTRI PENGOLAHAN,INDUSTRI ALAT ANGKUTAN LAINNYA,INDUSTRI LOKOMOTIF DAN GERBONG KERETA,INDUSTRI LOKOMOTIF DAN GERBONG KERETA
BAHTERA ENERGI INDONESIA,Not Found,,,,
BAHTERA PINTAS UTAMA,Not Found,,,,
BAHTERA POLARIS INDONESIA,Not Found,,,,
BAJA MULIA LESTARI,Not Found,,,,
BAJA MURNI KHARISMA PERSADA,Not Found,,,,
BAKTI WIRA KARSA MULIA,Not Found,,,,
BAKTI WIRA KARSA SAKTI,Not Found,,,,
BANGUN ARSHINDO SENTOSA,Not Found,,,,
BANGUN KARAWANG MEGAH,Not Found,,,,
BANGUN TALA PRATAMA,Not Found,,,,
BANJAR DISTRIBUSINDO RAYA,Not Found,,,,
BANK BTPN SYARIAH TBK,Not Found,,,,
BANK JABAR BANTEN SYARIAH,Not Found,,,,
BANK PEMBIAYAAN RAKYAT SYARI'AH AMANAH INSANI,Not Found,,,,
BANK PEMBIAYAAN RAKYAT SYARIAH ARTHA MADANI,Not Found,,,,
BANK PERKREDITAN RAKYAT (BPR) ARTHIA SERE,Not Found,,,,
BANK PERKREDITAN RAKYAT ARTHA JAYA MANDIRI,Not Found,,,,
BANK PERKREDITAN RAKYAT BANTORU PERINTIS,Not Found,,,,
BANK PERKREDITAN RAKYAT DANASARI PERSADA,Not Found,,,,
BANK PERKREDITAN RAKYAT DP TASPEN,Not Found,,,,
BANK PERKREDITAN RAKYAT DUTA ARTHA SEJAHTERA,Not Found,,,,
BANK PERKREDITAN RAKYAT KARAWANG JABAR PERSERODA,Not Found,,,,
BANK PERKREDITAN RAKYAT KARINAMAS PERMAI,Not Found,,,,
BANK PERKREDITAN RAKYAT KERTA RAHARJA,Not Found,,,,
BANK PERKREDITAN RAKYAT MENARAMAS MITRA,Not Found,,,,
BANK PERKREDITAN RAKYAT MITRA DAYA MANDIRI,Not Found,,,,
BANK PERKREDITAN RAKYAT NUSA,Not Found,,,,
BANK PERKREDITAN RAKYAT PANCA DANARAKYAT,Not Found,,,,
BANK PERKREDITAN RAKYAT SAYMA KARYA,Not Found,,,,
BANK PERKREDITAN RAKYAT TUTUR GANDA,Not Found,,,,
BANK RAKYAT INDONESIA (PERSERO) TBK,Not Found,,,,
BANK RAKYAT INDONESIA (PERSERO),Not Found,,,,
BANK RAYA INDONESIA,Not Found,,,,
BANK SYARIAH INDONESIA TBK,Not Found,,,,
BANSHU PLASTIK INDONESIA,Not Found,,,,
BARALIA BERKAT SEMPURNA,Not Found,,,,
BAROKAH MAKMUR SEJAHTERA,Not Found,,,,
BAROKAH NIAGA UTAMA,Not Found,,,,
BATHARA ABEY TRANSPORTASI,Not Found,,,,
BATU WANGI PUTRA SEJAHTERA,23942,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI SEMEN
BATUNUNGGAL PERKASA,Not Found,,,,
BCS PRIMA INDONESIA,Not Found,,,,
BEKASI DISTRIBUSINDORAYA,Not Found,,,,
BEKASI FAJAR INDUSTRIAL ESTATE Tbk,Not Found,,,,
BEKASI MOTOR,Not Found,,,,
BELINKEN GUNDALING,Not Found,,,,
BELNI PUSMILASARI,Not Found,,,,
BEM-VINDO JAYA,Not Found,,,,
BERKAH MANDIRI SERVIS,Not Found,,,,
BERKAH PRATAMA SINERGI,Not Found,,,,
BERKAH TEHNIK JAYA,,,,,
BERKAH TEKNIK JAYA,Not Found,,,,
BERKAT LESTARI PRATAMA,Not Found,,,,
BERKAT KARYA ANUGERAH SEMPURNA,Not Found,,,,
BERKAT SAMUDERA BERSAMA,Not Found,,,,
BERKAT SUMBER UTAMA,Not Found,,,,
BERLIAN HAIVA PROPERTY,Not Found,,,,
BERSAMA SAHABAT MAKMUR,Not Found,,,,
BEST MEGA INDUSTRI,17099,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI BARANG DARI KERTAS DAN PAPAN KERTAS LAINNYA
BIG DATA INDONESIA,Not Found,,,,
BILANG TEKNO PERSADA,Not Found,,,,
BIMA JAYA FARM,Not Found,,,,
BINA ARTHA SEMESTA,Not Found,,,,
BINA BUANA MEDIKA,Not Found,,,,
BINA CITRA KHARISMA LESTARI,Not Found,,,,
BINA INFORMATIKA SOLUSINDO,Not Found,,,,
BINA NIAGA MULTIUSAHA,24102,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR BESI DAN BAJA,INDUSTRI LOGAM DASAR BESI DAN BAJA
BINA PROFESI INDUSTRI INDONESIA,Not Found,,,,
BINTANG ALAM JAYA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
BINTANG FAJAR TRANSPORTINDO,Not Found,,,,
BINTANG FARMA PERKASA,Not Found,,,,
BINTANG JAYA SANTIKA,Not Found,,,,
BINTANG MOTOR JAYA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
BINTANG RAYA JUARSA INDONESIA,Not Found,,,,
BINTANG TELEKOMUNIKASI INDONESIA,Not Found,,,,
BINTANG UTAMA SENTOSA,22293,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
BIO FIT PUTRA,Not Found,,,,
BIOCARE SEJAHTERA,Not Found,,,,
BOEHME INDONESIA,,,,,
BOGOR ANUGRAH MULYA,Not Found,,,,
BORECAM SERVICES INTERNATIONAL,Not Found,,,,
BORIS AKURASI TOOLSINDO,Not Found,,,,
BOYKA WIJAYA INTERNUSA,Not Found,,,,
BPR ARTHA KARYA USAHA,Not Found,,,,
BPR BERFASI RAHARJA,Not Found,,,,
BPR DANA MULTI GUNA,Not Found,,,,
BPR HAYURA ARTALOLA,Not Found,,,,
BPR KARYA GUNA MANDIRI,Not Found,,,,
BPR KREDIT MANDIRI INDONESIA,Not Found,,,,
BPR KREO LESTARI,Not Found,,,,
BPR MITRA DAYA MANDIRI,Not Found,,,,
BPR NUSA,Not Found,,,,
BPR NUSAMBA PLERED,Not Found,,,,
BPR NUSAMBA SUKARAJA,Not Found,,,,
BPR POLA DANA,Not Found,,,,
BPR TUTUR GANDA,Not Found,,,,
BPR TUTUR GANDA CABLOHBENER,Not Found,,,,
BPRARTHA BERSAMA,Not Found,,,,
BPRDIAN FARAQO GEMILANG,Not Found,,,,
BPRMULIATAMA DANANJAYA,Not Found,,,,
BPW BUANA VIESTA JAYA CHRISTOUR,Not Found,,,,
BRAJA MUSTIKA,Not Found,,,,
BRANI MAJU BERKARYA,Not Found,,,,
BRENNTAG,20232,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
BRINTON SEJAHTERA BEARINDO,Not Found,,,,
BRIS POEY TRANS,Not Found,,,,
BRITE POLYMER,20116,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
BUANA INDAH PROPERTI,Not Found,,,,
BUANA RAYA LESTARI,17022,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
BUDI DARMAWAN INDONESIA,Not Found,,,,
BUDI KARYA SENTOSA SEJATI,Not Found,,,,
BUKIT PELANGI ASRI,Not Found,,,,
BUMI CENDANA GRAFIKA,Not Found,,,,
CAHAYA ANUGRAH FIRDAUS,Not Found,,,,
CAHAYA BERKAH MENDUNIA,Not Found,,,,
CAHAYA CIKARANGMAS RESOURCES,Not Found,,,,
CAHAYA KEHIDUPAN ABADI,Not Found,,,,
CAHAYA KIM BUANA,Not Found,,,,
CAHAYA MANDIRI RAJAWALI,Not Found,,,,
CAHAYA TRIARTHA MULIA,Not Found,,,,
CAHAYA UTAMA CAKRAWALA,Not Found,,,,
CAKRA ADHITAMA SOLUSINDO,Not Found,,,,
CAKRA BANGUN SUKSES,Not Found,,,,
CAKRA KENCANA MULTIMEDIA,Not Found,,,,
CAKRA LAKSANA SAKTI,Not Found,,,,
CAKRAINDO MITRA INTERNASIONAL,Not Found,,,,
CAMAR SAKTI,Not Found,,,,
CASBAR PANCARAN BERKAT,Not Found,,,,
CATINDO,20221,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI CAT DAN TINTA CETAK
CATU INTER GLOBAL,24101,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR BESI DAN BAJA,INDUSTRI LOGAM DASAR BESI DAN BAJA
CATUR PUTRA JAYA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
CENGKARENG PERMAI,23959,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG DARI SEMEN
CHEMTRADE INDONESIA,Not Found,,,,
CHIYO PERSADA PRATAMA,Not Found,,,,
CHRISKA KATILI,Not Found,,,,
CIANJUR ALAM UTAMA,Not Found,,,,
CIBITUNG MOTOR MANDIRI,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
CIKAMPEK MULYA ABADI,Not Found,,,,
CIKARANG LISTRINDO,,,,,
CILANGGENG PERKASA,Not Found,,,,
CILEUNYI MULYA ABADI,Not Found,,,,
CIPLASINDO MAKMUR SEJAHTERA,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
CIA GUNA DATA INFOTEK SOLUSINDO,Not Found,,,,
CIA KREASI TEKSTIL,Not Found,,,,
CIA MANDIRI WIRASAKTI,Not Found,,,,
CIA REVORMA BERSAMA,Not Found,,,,
CIA SARANA NUSANTARA,Not Found,,,,
CIA VISUAL MANDIRI,Not Found,,,,
CIPUTRA INDAH,Not Found,,,,
CIRA INTERNATIONAL,Not Found,,,,
CIREBON GRAHATAMA,Not Found,,,,
CIREBON SEWU CEMERLANG,Not Found,,,,
CITRA ABADI FOOD,Not Found,,,,
CITRA CELEBAS MULTIMEDIA,Not Found,,,,
CITRA GALVANIZING INDONESIA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
CITRA JELAJAH INFORMATIKA,Not Found,,,,
CITRA KARYA BETON,23957,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG DARI SEMEN
CITRA KARYAPUTRA MANDIRI,Not Found,,,,
CITRA MEDIKA LESTARI JAYA,Not Found,,,,
CITRA OUTSINDO PERKASA,Not Found,,,,
CITRA TERUS MAKMUR,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
CLC NIAGA INDONESIA,Not Found,,,,
COCO AGER INDONESIA,20115,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
CORDELIA BERDIKARI ELEKTRIK,Not Found,,,,
CORROCOAT INDONESIA,,,,,
COTTA TERRA PRIMA,Not Found,,,,
CRYOGENIC GLOBAL SOLUTIONS,Not Found,,,,
DADALI CITRA MANDIRI,Not Found,,,,
DAE RYUN TRADING,Not Found,,,,
DAKSAWIRA PERDANA,Not Found,,,,
DAM ANUGERAH PONDOK MANDIRI,Not Found,,,,
DARSINDO CIA PUTRA MANDIRI,Not Found,,,,
DAULAY HUMALA BERSAUDARA,Not Found,,,,
DAYA ADICIA MOTORA,Not Found,,,,
Daya Alvita Mandiri,Not Found,,,,
DAYA ANUGRAH MANDIRI,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
DAYA MUDA AGUNG,Not Found,,,,
DELTA INDONESIA PRANENGGAR,Not Found,,,,
DELTA SURYA ENERGY,Not Found,,,,
DENATIKA PUTRI PERTIWI,21012,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI FARMASI DAN PRODUK OBAT KIMIA
DENKI ENGINEERING,Not Found,,,,
DEPOK DISTRIBUSINDO RAYA,Not Found,,,,
DEWA CITRA,18111,INDUSTRI PENGOLAHAN,INDUSTRI PENCETAKAN DAN REPRODUKSI MEDIA REKAMAN,INDUSTRI PENCETAKAN DAN KEGIATAN YBDI,INDUSTRI PENCETAKAN
DEXA ARFINDO PRATAMA,Not Found,,,,
DHARMA MAKMUR BERSAMA,Not Found,,,,
DHARMA WIRANUSA SOLUSINDO,Not Found,,,,
DHARMATAMA INTI LESTARI,Not Found,,,,
DI LIMA MULTI TEHNIK,Not Found,,,,
