Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
BERKAT CITRANI MITRA SEJATI,32502,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN LAINNYA,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA,INDUSTRI PERALATAN KEDOKTERAN DAN KEDOKTERAN GIGI SERTA PERLENGKAPANNYA
BERKAT MAKSIMAL IKHTIAR,Not Found,,,,
BERKAT MULIA PRATAMA,Not Found,,,,
BERKAT PUTRA MANDIRI,Not Found,,,,
BERKAT SEJATI TRANSINDO,Not Found,,,,
BERKAT TECHNICA ABADI,Not Found,,,,
BERTINDO MITRA UTAMA,Not Found,,,,
BESTOW HARAPAN INDAH,Not Found,,,,
BILANG TEKNO PERSADA,Not Found,,,,
BIMA ADIKARYA PERSADA,Not Found,,,,
BIMA PERKASINDO,Not Found,,,,
BIMETA KARNUSA,17021,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
BINA CITRA UTAMA SEJAHTERA,Not Found,,,,
BINA PERKASA TEKNIK,Not Found,,,,
BINABINTANG PRIANGAN,Not Found,,,,
BINAVALASINDO DOLARASIA SEJAHTERA UTAMA,Not Found,,,,
BINTANG CHEMICAL ABADI,20121,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI PUPUK DAN BAHAN SENYAWA NITROGEN
BINTANG CIAPERKASA,Not Found,,,,
BINTANG KEMAKMURAN,Not Found,,,,
BINTANG MAHAMERU SEJAHTERA,Not Found,,,,
BINTANG TOEDJOE,21022,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI OBAT TRADISIONAL
BIOCARE SEJAHTERA,Not Found,,,,
BIOSANT TIRTA LESTARI,22293,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
BIRO PERJALANAN WISATA NEEKOI,Not Found,,,,
BOGOR RAYA ECOPARK,Not Found,,,,
BOTRAM MAHKOTA PARAHYANGAN,Not Found,,,,
BPFILTERS INDONESIA MANDIRI,Not Found,,,,
BPR ARTHA JAYA MANDIRI,Not Found,,,,
BPR BANJAR ARTHASARIGUNA,Not Found,,,,
BPR BUMI BANDUNG KENCANA,Not Found,,,,
BPR CILEUNGSI KRIDASEJAHTERA,Not Found,,,,
BPR DANA MANDIRI BOGOR,Not Found,,,,
BPR DUTA ARTHA SEJAHTERA,Not Found,,,,
BPR HASA MITRA JAWA BARAT,Not Found,,,,
BPR NUSAMBA SINGAPARNA,Not Found,,,,
BPR NUSANTARA BONA PASOGIT 19,Not Found,,,,
BPR SUPRA ARTAPERSADA,Not Found,,,,
BPR TUTUR GANDA CABANG KUNINGAN,Not Found,,,,
BPR UKABIMA LUMBUNG SEJAHTERA,Not Found,,,,
BRAGA TEXCHEM INDUSTRY,Not Found,,,,
BUDI MAKMUR PERKASA,10633,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGGILINGAN PADI-PADIAN,INDUSTRI PENGGILINGAN BERAS DAN JAGUNG DAN INDUSTRI TEPUNG BERAS DAN JAGUNG
BUKIT MAKMUR MANDIRI UTAMA,,,,,
BUKIT WARNA ABADI,20113,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
BULINDO BANGUN LESTARI,Not Found,,,,
BUMI KENCANA INDAH,Not Found,,,,
BUMI NINI PANGAN INDONESIA,Not Found,,,,
BUMI SENTOSA MAKMUR,Not Found,,,,
BUMI SURYA ANUGERAH PUTRA,Not Found,,,,
BUMINDO SARANA TRANSPORTASI,Not Found,,,,
CAHAYA AULIA TEKNIKA,Not Found,,,,
CAHAYA BEKASI BAJATAMA,Not Found,,,,
CAHAYA BENTENG MAS,25119,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN,INDUSTRI BARANG LOGAM SIAP PASANG UNTUK BANGUNAN
CAHAYA CIA MANDIRI,Not Found,,,,
CAHAYA MUTIARA BUNDA,Not Found,,,,
CAHAYA TRIARTHA MULIA,Not Found,,,,
CAKRABUANA PESONA,Not Found,,,,
CAPREFINDO,Not Found,,,,
CARMELLA GUSTAVINDO,Not Found,,,,
CENTRAL TEXINDO,13132,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
CENTRALINK SENTOSA,Not Found,,,,
CHINLI PLASTIC MATERIALS,15202,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
CHINLI PLASTIC MATERIALS INDONESIA,15202,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
CIANJUR SUGIH MUKTI,Not Found,,,,
CIBUBUR INDAH MOTOR,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
CIKAL BUANA PERSADA,Not Found,,,,
CIA BARAYA LOGISTIK,Not Found,,,,
CIA DAYA MALINDO,Not Found,,,,
CIA DWIKARYA INTERNASIONAL,Not Found,,,,
CIA KARYA MANDIRI,Not Found,,,,
